Название,Цена,Ссылка,Ссылка_на_фото
"16"" Ноутбук Honor MagicBook X 16 Plus серый [английская/русская раскладка, 2560x1600, IPS, AMD Ryzen 7 8845HS, ядра: 8, RAM 16 ГБ, SSD 1000 ГБ, AMD Radeon 780M, Windows 11 Home]",89 999,https://www.dns-shop.ru/product/25e7cf770920d582/16-noutbuk-honor-magicbook-x-16-plus-seryj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/b6facefd467d5b8eaf459833f536d67d/8e4af724e45bba9148e4fbcf01962542527eadbbbeb366c2b8051b4fc931c1e1.jpg
"16"" Ноутбук HONOR MagicBook X 16 2024 Born-F5651C серый [английская/русская раскладка, 1920x1200, IPS, Intel Core i5-12450H, ядра: 4 + 4, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, без ОС]",44 999,https://www.dns-shop.ru/product/9ec973b59d46ed20/16-noutbuk-honor-magicbook-x-16-2024-born-f5651c-seryj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/e81fc96c9d81a0bc88c9ec7680786c96/e00c36026e90afcc8597968848a692e24eb37eff05972148ba8f2726d7ff86e9.jpg
"16"" Ноутбук Honor MagicBook X 16 Born-H5651 серый [английская/русская раскладка, 1920x1200, IPS, AMD Ryzen 5 7640HS, ядра: 6, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon 760M, без ОС]",51 999,https://www.dns-shop.ru/product/fb5645df0922d582/16-noutbuk-honor-magicbook-x-16-born-h5651-seryj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/c4111a0b79b48d855ea2e161e9c600fe/8c61b05ffa6470082f701e9be23059da48447b7233fdd57e74247bf0900bb74a.png
"15.6"" Ноутбук HONOR MagicBook 15 BMH-WFQ9HN серый [английская/русская раскладка, 1920x1080, IPS, AMD Ryzen 5 5500U, ядра: 6, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon Graphics, без ОС]",40 999,https://www.dns-shop.ru/product/c6fa098756c1ed20/156-noutbuk-honor-magicbook-15-bmh-wfq9hn-seryj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/d5e032bc548bdfad4a85847e1d36f6bf/35a0e12ded1dddd677e97018cc103e6eb0f337eff3728dfb2d4fba84db2a4440.jpg
"14"" Ноутбук Honor MagicBook X14 2025 5301ALWG/FRG-X серый [английская/русская раскладка, 1920x1200, IPS, Intel Core i5-13420H, ядра: 4 + 4, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows 11 Home]",40 499,https://www.dns-shop.ru/product/5116d609b060d9cb/14-noutbuk-honor-magicbook-x14-2025-5301alwgfrg-x-seryj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/1912f064be4f5b956c32859b78319c53/8e81bae9e4446d871c93505c78e654d898e500820793983c1550730f14bce399.jpg
"16"" Ноутбук Honor MagicBook X 16 Born-H5651 серебристый [английская/русская раскладка, 1920x1200, IPS, AMD Ryzen 5 7640HS, ядра: 6, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon 760M, без ОС]",59 999,https://www.dns-shop.ru/product/839092de0923d582/16-noutbuk-honor-magicbook-x-16-born-h5651-serebristyj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/1d4f1a786e000fa2789ca214f856e7a0/5f50386748bcfc7b7a96239d0ca3015e671494d1d3d8e102486150eee3334066.png
"16"" Ноутбук Honor MagicBook X16 2025 серый [английская/русская раскладка, 1920x1200, IPS, Intel Core i5-13420H, ядра: 4 + 4, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows 11 Home]",56 999,https://www.dns-shop.ru/product/caa518a7b05ed9cb/16-noutbuk-honor-magicbook-x16-2025-seryj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/24925dd6b70521104183ab746b7c91ab/a1a967627d22f78d55c90daad718a7f76829e968efe9a66cccaeaacc6e2a9f3c.jpg
"14"" Ноутбук Honor MagicBook X14 2025 серый [английская/русская раскладка, 1920x1200, IPS, Intel Core i5-12450H, ядра: 4 + 4, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, без ОС]",44 999,https://www.dns-shop.ru/product/2a85c362b062d9cb/14-noutbuk-honor-magicbook-x14-2025-seryj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/0150459857eb039fc3cbb799cda848de/f77240d8335484ae8af476b9c82965f034b0e6a7cf7a159b8cf693935295bc6e.jpg
"16"" Ноутбук Honor MagicBook X16 2025 серый [английская/русская раскладка, 1920x1200, IPS, Intel Core i5-13420H, ядра: 4 + 4, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, без ОС]",47 999,https://www.dns-shop.ru/product/e04ff40fb05dd9cb/16-noutbuk-honor-magicbook-x16-2025-seryj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/24925dd6b70521104183ab746b7c91ab/a1a967627d22f78d55c90daad718a7f76829e968efe9a66cccaeaacc6e2a9f3c.jpg
"16"" Ноутбук Honor MagicBook X 16 Plus серый [английская/русская раскладка, 1920x1200, IPS, AMD Ryzen 7 8845HS, ядра: 8, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon 780M, Windows 11 Home]",79 999,https://www.dns-shop.ru/product/fa8a77d9091ed9cb/16-noutbuk-honor-magicbook-x-16-plus-seryj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/9757fc7446fa9b5da14c03bddded7e26/1dfe1e9d71c1ba0fec08b06204cff42a93a48d331cc9ead612520314fa8be226.jpg
