Название,Цена,Ссылка,Ссылка_на_фото
"6.8"" Смартфон Samsung Galaxy S23 Ultra 256 ГБ зеленый [ядер - 8x(3.36 ГГц), 12 ГБ, 2 SIM, Dynamic AMOLED 2X, 3088x1440, камера 200+10+12+10 Мп, NFC, 5G, GPS, 5000 мА*ч]",84 999,https://www.dns-shop.ru/product/analog/8961ee3a4811addf/68-smartfon-samsung-galaxy-s23-ultra-256-gb-zelenyj/,https://c.dns-shop.ru/thumb/st4/fit/200/200/cb7944b6541cb2eb75eb00e2a581c62c/5de4c4287831e03216756d54fd72e17d40c30534c39f29233d60b196ef04111c.jpg
"6.8"" Смартфон Samsung Galaxy S23 Ultra 256 ГБ черный [ядер - 8x(3.36 ГГц), 12 ГБ, 2 SIM, Dynamic AMOLED 2X, 3088x1440, камера 200+10+12+10 Мп, NFC, 5G, GPS, 5000 мА*ч]",84 999,https://www.dns-shop.ru/product/analog/fa6e9f3899666aa5/68-smartfon-samsung-galaxy-s23-ultra-256-gb-cernyj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/5934a67b4e7728af5f31bb02ffb73bca/d724c257977ad0dea464f177f095470018e5c2f0f451402c7e5f984c4e56ebf6.jpg
"6.8"" Смартфон Samsung Galaxy S23 Ultra 256 ГБ черный [ядер - 8x(3.36 ГГц), 8 ГБ, 2 SIM, Dynamic AMOLED 2X, 3088x1440, камера 200+10+12+10 Мп, NFC, 5G, GPS, 5000 мА*ч]",82 499,https://www.dns-shop.ru/product/analog/a162f20e5a78b33b/68-smartfon-samsung-galaxy-s23-ultra-256-gb-cernyj/,https://c.dns-shop.ru/thumb/st4/fit/200/200/35b1b08ac70866310c8a86265182881c/0d915e7c6c09df6cc87bde142e0a39cb2add72771ca1c7e379fdf2f0dece702e.jpg
"6.1"" Смартфон Samsung Galaxy S23 256 ГБ зеленый [ядер - 8x(3.36 ГГц), 8 ГБ, 2 SIM, Dynamic AMOLED 2X, 2340x1080, камера 50+10+12 Мп, NFC, 5G, GPS, 3900 мА*ч]",57 999,https://www.dns-shop.ru/product/analog/d2318ffa9ba5ed20/61-smartfon-samsung-galaxy-s23-256-gb-zelenyj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/50281778c2c89c4e46a56f9b03b4933e/fdc2f649973d8cb0c3b40310d529a6aeb3b9d2b8314f860b0ab783095294c291.jpg
"6.8"" Смартфон Samsung Galaxy S23 Ultra 512 ГБ розовый [ядер - 8x(3.36 ГГц), 12 ГБ, 2 SIM, Dynamic AMOLED 2X, 3088x1440, камера 200+10+12+10 Мп, NFC, 5G, GPS, 5000 мА*ч]",84 999,https://www.dns-shop.ru/product/analog/156bea53aca651f0/68-smartfon-samsung-galaxy-s23-ultra-512-gb-rozovyj/,https://c.dns-shop.ru/thumb/st4/fit/200/200/5c16a0b1419a5bd8465ed44a11427fe0/05da2b8f6eb77598dd5508b1d8b632fff998a6a5e78049b613643de9dfff6c7e.jpg
"6.8"" Смартфон Samsung Galaxy S23 Ultra 512 ГБ розовый [ядер - 8x(3.36 ГГц), 12 ГБ, 2 SIM, Dynamic AMOLED 2X, 3088x1440, камера 200+10+12+10 Мп, NFC, 5G, GPS, 5000 мА*ч]",98 999,https://www.dns-shop.ru/product/analog/737634a173bc37a3/68-smartfon-samsung-galaxy-s23-ultra-512-gb-rozovyj/,https://c.dns-shop.ru/thumb/st4/fit/200/200/244a0f55e8d64f7df00d97b4df11ab6d/ca74afc357053bb1d9967e174eb481ebda63352eb534fc8f9559d9f66e019703.jpg
"6.4"" Смартфон Samsung Galaxy S23 FE 256 ГБ фиолетовый [ядер - 8x(2.8 ГГц), 8 ГБ, 2 SIM, Dynamic AMOLED 2X, 2340x1080, камера 50+12+8 Мп, NFC, 5G, GPS, 4500 мА*ч]",42 999,https://www.dns-shop.ru/product/analog/76a1feeec7622470/64-smartfon-samsung-galaxy-s23-fe-256-gb-fioletovyj/,https://c.dns-shop.ru/thumb/st4/fit/200/200/acf48904cd83de77173d820d418ed5b8/6a986555e367f622532a2bf6989781a1221729b2790795f1af6e12e34b956207.jpg
"6.1"" Смартфон Samsung Galaxy S23 256 ГБ бежевый [ядер - 8x(3.36 ГГц), 8 ГБ, 2 SIM, Dynamic AMOLED 2X, 2340x1080, камера 50+10+12 Мп, NFC, 5G, GPS, 3900 мА*ч]",57 999,https://www.dns-shop.ru/product/analog/913e6c37e514db23/61-smartfon-samsung-galaxy-s23-256-gb-bezevyj/,https://c.dns-shop.ru/thumb/st4/fit/200/200/b599312186fac612a1bed2190c415610/3aca3604def90735369e9fb303b6a517043e1bae13436c2ee4a9fafcb302d73a.jpg
"6.4"" Смартфон Samsung Galaxy S23 FE 256 ГБ фиолетовый [ядер - 8x(2.8 ГГц), 8 ГБ, 2 SIM, Dynamic AMOLED 2X, 2340x1080, камера 50+12+8 Мп, NFC, 5G, GPS, 4500 мА*ч]",58 499,https://www.dns-shop.ru/product/analog/a9d3e1b7e691b659/64-smartfon-samsung-galaxy-s23-fe-256-gb-fioletovyj/,https://c.dns-shop.ru/thumb/st4/fit/200/200/1ed29e77c795c72bc17f5aa20bbe8ad3/eb4f2fd7a632c5e8cdacd38b7f38e0a9aa7e91167e7eed25846501ba4a22f2f2.jpg
"6.8"" Смартфон Samsung Galaxy S23 Ultra 256 ГБ зеленый [ядер - 8x(3.36 ГГц), 12 ГБ, 2 SIM, Dynamic AMOLED 2X, 3088x1440, камера 200+10+12+10 Мп, NFC, 5G, GPS, 5000 мА*ч]",85 799,https://www.dns-shop.ru/product/analog/e5f46ea29ba5ed20/68-smartfon-samsung-galaxy-s23-ultra-256-gb-zelenyj/,https://c.dns-shop.ru/thumb/st1/fit/200/200/525d0b79a6fae1cb1f3bde710ccc46d3/bd57e66369e4a0654f1337d4aa038bf4f7f2146b868af7f5d2c0e238f6aa8500.jpg
"6.8"" Смартфон Samsung Galaxy S23 Ultra 256 ГБ черный [ядер - 8x(3.36 ГГц), 12 ГБ, 2 SIM, Dynamic AMOLED 2X, 3088x1440, камера 200+10+12+10 Мп, NFC, 5G, GPS, 5000 мА*ч]",85 799,https://www.dns-shop.ru/product/analog/e5f46ea39ba5ed20/68-smartfon-samsung-galaxy-s23-ultra-256-gb-cernyj/,https://c.dns-shop.ru/thumb/st4/fit/200/200/e58f975109214e48f07dbf1dc4934e1b/823bd50afff143ba607feec467d8f37d4fc1655b4900035684e78d6e705fc9c2.jpg
